imagen_id,imagen_path,label_real,label_real_nombre,acierto_eff,conf_correcta_eff,pred_eff,pred_nombre_eff,acierto_res,conf_correcta_res,pred_res,pred_nombre_res,acierto_vit,conf_correcta_vit,pred_vit,pred_nombre_vit
test_2245_aligned.jpg,../RAF_DB/DATASET/test/fear/test_2245_aligned.jpg,2,fear,0,0.11479863,1,disgust,0,1.682973e-05,0,anger,0,0.16199146,6,surprise
test_2718_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_2718_aligned.jpg,4,neutral,0,0.24781798,6,surprise,0,0.031916574,3,happy,0,0.08140483,3,happy
test_2305_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_2305_aligned.jpg,1,disgust,0,0.012676071,4,neutral,0,0.05957679,4,neutral,0,0.3080338,5,sad
test_0674_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_0674_aligned.jpg,6,surprise,0,0.04196928,2,fear,0,0.1263655,2,fear,0,0.054774098,2,fear
test_2816_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_2816_aligned.jpg,4,neutral,0,0.008578341,5,sad,0,0.006021777,3,happy,0,0.15183279,5,sad
test_3012_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_3012_aligned.jpg,4,neutral,0,0.34047115,6,surprise,0,0.25885302,3,happy,0,0.20790696,6,surprise
test_1602_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1602_aligned.jpg,0,anger,0,0.01728881,3,happy,0,0.0046029566,4,neutral,0,0.006906633,3,happy
test_1092_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_1092_aligned.jpg,1,disgust,0,0.24809457,3,happy,0,0.030966364,3,happy,0,0.2521045,5,sad
test_2613_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_2613_aligned.jpg,4,neutral,0,0.23744023,1,disgust,0,0.0045483797,6,surprise,0,0.36673364,1,disgust
test_1320_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_1320_aligned.jpg,6,surprise,0,0.10440616,5,sad,0,0.076025024,5,sad,0,0.039393846,5,sad
test_1558_aligned.jpg,../RAF_DB/DATASET/test/happy/test_1558_aligned.jpg,3,happy,0,0.20550765,4,neutral,0,0.3317499,4,neutral,0,0.38543543,4,neutral
test_0670_aligned.jpg,../RAF_DB/DATASET/test/happy/test_0670_aligned.jpg,3,happy,0,0.15802658,5,sad,0,0.04919892,1,disgust,0,0.25534633,5,sad
test_1228_aligned.jpg,../RAF_DB/DATASET/test/sad/test_1228_aligned.jpg,5,sad,0,0.013673093,3,happy,0,0.050538443,3,happy,0,0.052714515,3,happy
test_0420_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_0420_aligned.jpg,1,disgust,0,0.044636544,5,sad,0,0.011057619,4,neutral,0,0.098510034,4,neutral
test_2174_aligned.jpg,../RAF_DB/DATASET/test/anger/test_2174_aligned.jpg,0,anger,0,8.187232e-05,4,neutral,0,0.0010198236,4,neutral,0,0.005592232,4,neutral
test_0899_aligned.jpg,../RAF_DB/DATASET/test/happy/test_0899_aligned.jpg,3,happy,0,0.00693455,6,surprise,0,0.03076342,1,disgust,0,0.00052696303,6,surprise
test_2113_aligned.jpg,../RAF_DB/DATASET/test/sad/test_2113_aligned.jpg,5,sad,0,0.015435103,0,anger,0,0.06670623,3,happy,0,0.081605405,4,neutral
test_1149_aligned.jpg,../RAF_DB/DATASET/test/sad/test_1149_aligned.jpg,5,sad,0,0.18816869,2,fear,0,0.054992277,0,anger,0,0.3414431,3,happy
test_0779_aligned.jpg,../RAF_DB/DATASET/test/anger/test_0779_aligned.jpg,0,anger,0,0.117296085,3,happy,0,0.030463554,3,happy,0,0.21599294,2,fear
test_1290_aligned.jpg,../RAF_DB/DATASET/test/happy/test_1290_aligned.jpg,3,happy,0,0.04568609,6,surprise,0,0.10720584,0,anger,0,0.0046028453,1,disgust
test_1657_aligned.jpg,../RAF_DB/DATASET/test/sad/test_1657_aligned.jpg,5,sad,0,0.36106676,4,neutral,0,0.009456627,3,happy,0,0.3944111,4,neutral
test_1462_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1462_aligned.jpg,0,anger,0,0.3071069,1,disgust,0,0.15018034,1,disgust,0,0.18683465,1,disgust
test_1039_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_1039_aligned.jpg,1,disgust,0,0.13771588,4,neutral,0,0.08026331,0,anger,0,0.3740593,4,neutral
test_2255_aligned.jpg,../RAF_DB/DATASET/test/fear/test_2255_aligned.jpg,2,fear,0,0.0050017606,5,sad,0,0.0001523337,5,sad,0,0.001508953,5,sad
test_0754_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_0754_aligned.jpg,6,surprise,0,0.024333213,0,anger,0,0.36451006,0,anger,0,0.29296273,2,fear
test_2247_aligned.jpg,../RAF_DB/DATASET/test/fear/test_2247_aligned.jpg,2,fear,0,0.037524164,1,disgust,0,0.0048843147,0,anger,0,0.06847819,3,happy
test_0689_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_0689_aligned.jpg,6,surprise,0,0.10637025,3,happy,0,0.24727328,3,happy,0,0.42733097,2,fear
test_0377_aligned.jpg,../RAF_DB/DATASET/test/fear/test_0377_aligned.jpg,2,fear,0,0.08079068,5,sad,0,0.00011807583,0,anger,0,0.13892351,0,anger
