imagen_id,imagen_path,label_real,label_real_nombre,pred_efficient,pred_nombre,acierto,conf_pred,conf_correcta,prob_anger,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise
test_0186_aligned.jpg,../RAF_DB/DATASET/test/anger/test_0186_aligned.jpg,0,anger,0,anger,1,0.48829687,0.48829687,0.48829687,0.005268486,0.41104984,0.057400458,0.0021247098,0.014943397,0.020916205
test_1602_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1602_aligned.jpg,0,anger,3,happy,0,0.8632526,0.01728881,0.01728881,0.01085275,0.0132029215,0.8632526,0.077054515,0.005241122,0.013107243
test_1976_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1976_aligned.jpg,0,anger,0,anger,1,0.99841774,0.99841774,0.99841774,0.0013076907,9.798934e-06,1.6993448e-07,1.1712442e-05,0.00022216362,3.088105e-05
test_0321_aligned.jpg,../RAF_DB/DATASET/test/anger/test_0321_aligned.jpg,0,anger,0,anger,1,0.8978132,0.8978132,0.8978132,0.00035139977,3.9534472e-05,3.0999137e-05,0.099413835,0.00043341686,0.0019175916
test_2024_aligned.jpg,../RAF_DB/DATASET/test/anger/test_2024_aligned.jpg,0,anger,0,anger,1,0.999542,0.999542,0.999542,9.945365e-05,8.854302e-05,0.00015333858,2.5072152e-06,1.7738994e-05,9.64543e-05
test_2062_aligned.jpg,../RAF_DB/DATASET/test/anger/test_2062_aligned.jpg,0,anger,0,anger,1,0.9936566,0.9936566,0.9936566,0.0048081675,8.313498e-05,0.0012821124,3.3240103e-06,0.00010336887,6.329789e-05
test_1040_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1040_aligned.jpg,0,anger,0,anger,1,0.97992206,0.97992206,0.97992206,0.0006350073,0.009226173,0.003892379,7.420844e-06,0.0033286284,0.0029881515
test_1997_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1997_aligned.jpg,0,anger,0,anger,1,0.76272017,0.76272017,0.76272017,0.027278995,0.047279604,0.028630396,0.021366693,0.04793833,0.06478582
test_1691_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1691_aligned.jpg,0,anger,0,anger,1,0.95622563,0.95622563,0.95622563,0.005558273,0.016036596,0.0063740774,0.0012403395,0.0025554076,0.012009608
test_1683_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1683_aligned.jpg,0,anger,0,anger,1,0.99179536,0.99179536,0.99179536,0.0006614803,0.0071049877,4.7277967e-06,3.738663e-07,0.0003904547,4.2650357e-05
test_1684_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1684_aligned.jpg,0,anger,1,disgust,0,0.5450351,0.03979808,0.03979808,0.5450351,0.06273613,0.08449182,0.0698806,0.120865785,0.07719243
test_1830_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1830_aligned.jpg,0,anger,0,anger,1,0.9962574,0.9962574,0.9962574,0.0026440658,7.58877e-06,0.00025320894,0.0003043095,6.648286e-05,0.00046695134
test_0358_aligned.jpg,../RAF_DB/DATASET/test/anger/test_0358_aligned.jpg,0,anger,0,anger,1,0.768705,0.768705,0.768705,0.0034260456,0.03879209,0.14542082,0.0007525227,0.015181849,0.027721744
